	id	sentence1	sentence2	similarity
5595	f1971b428dabc7a91635b1912	Hamas Urges Hizbullah to Pull Fighters Out of Syria	Hamas calls on Hezbollah to pull forces out of Syria	1.0
1987	8385cf9bc63002867ba8fbf15	A black dog is running through some water.	A man in a football uniform is running with a football during a game.	0.0
516	7bdfe5d2ae706d46d78253211	A woman is peeling a potato.	A woman peels a potato.	1.0
7144	d17faa78519dd893ccd70ada1	Kenya Supreme Court upholds election result	Kenya SC upholds election result	1.0
3912	295460116f97a3a20d7d641b3	Romney picks Ryan as vice presidential running mate: source	Romney to tap Ryan as vice presidential running mate	1.0
8007	4b7922aed52b31dc3bf0df775	You just have to base your answer on what you do know, which is what you want.	Remember this is your degree we are talking about, its up to you what you want to do.	0.0
7876	1dc2484fd26f9c2b5e87f03af	There's also what the string is made of.	There is also a Youtube-Version of the film.	0.0
5632	2ba7f473c3da802394243de35	Mandela spends third day in hospital	Mandela in Hospital for 3rd Day	1.0
1304	decf0611701dbde3123ad3a19	The woman is sitting on the red motorcycle.	The white sheep is standing on the green hill.	0.0
5186	dee0b498d0cea2ff9122361be	Rock bands' plane makes emergency landing in Ill.	Rock Bands' Plane Makes Emergency Landing in Ill.	1.0
2011	7cf3fe72f353dc283fde2fa1a	There's no chance of a fair trial.	there is no chance at a fair trial.	1.0
1531	546b33f8f2c6f1235f8578a45	A girl playing is a pile of colorful balls.	A little girl plays in a pit of colorful balls.	1.0
6389	8f68718fa8b3a142a397a2a5b	This does not fully answer your question, but it is certainly one consideration.	I am a PhD student in Computational Science, which is an interdisciplinary major spanning mathematics, computer science, and engineerning.	0.0
6209	608e628c11604635dd91d904e	There is a black dog jumping into a swimming pool.	A black dog is leaping into a swimming pool.	1.0
4353	3bc0a3d5ae337cd46ba74201d	Death toll rises in Russia plane crash	Death toll rises to 39 in Italy coach crash	0.0
3241	b3b2d2e5b71b8b0cd96869174	Bush plans to meet with Israeli Prime Minister Ariel Sharon and the new Palestinian prime minister, Mahmoud Abbas, in the Jordanian port of Aqaba on Wednesday.	On Wednesday next week, Mr Bush will meet Israeli Prime Minister Ariel Sharon and new Palestinian leader Mahmoud Abbas in Aqaba, Jordan.	1.0
8601	9054d0160913b0af8b3cf90e9	Israel confirms strike on Syria targeted weapons	Israel officials: Strike on Syria targeted weapons	1.0
6040	e053499a3d0247bd52549fce2	The small dog protects its owner.	The back of the stop sign is adorned with stickers.	0.0
8618	7e415be2f69f5eb1d53b89973	Funeral of Ian Paisley to take place in Belfast	Funeral of MH17 victim Liam Sweeney takes place in Newcastle	0.0
1532	7a99419bfabf96820b08ba163	An older man is standing outside in front of a truck.	A woman dressed in green is roller skating outside at an event.	0.0
5651	92b458ba916ec4b24c40a9724	Who Is Jihadi John?	Who was 'Jihadi John?'	1.0
7367	d05eaf3b3738b1fcc37aa6a61	A woman is slicing ginger.	A person is holding two baby lorises.	0.0
8019	e256c76d83622ed66249e70e0	The answer to both questions is: Yes.	To directly answer the two questions in your title.	0.0
5117	a1aba25eb6a56c139b98df5a1	Investigators probe motives of LAX airport shooter	Investigators Probe Motives of Los Angeles Airport Shooter	1.0
1552	845ac0dcfd0768486125ffd79	A girl swings her long, wet hair in a lake.	A person riding a dirt bike.	0.0
1724	3eab84d02196ed99217edbc82	A woman is attempting to ride a small wave.	A man and woman sitting back to back outside in the sun.	0.0
6601	420ab6d4d7d1a7aa29287d44e	I have no idea why it is voted up, but Rex Kerr's answer begs the question.	It's a tautology, but the mapping between logic and the English-language description is wrong.	0.0
323	3257660470b6632db6149ecf0	A cat is watching a TV.	A man is slicing a leave.	0.0
5744	f82e2e1e21420a6267e5e60d8	Severe Gales As Storm Clodagh Hits Britain	Merkel pledges NATO solidarity with Latvia	0.0
8114	1550370432f8686bc2d31d556	You don't have to worry.	You don't have to do anything to season it.	0.0
5780	ec0d6ac04301526ed3eb74515	A band is performing on a stage.	A band is playing onstage.	1.0
334	499784428f891e11709f3fc7d	A woman is slicing octopus.	A man is playing the guitar.	0.0
7815	4335ab9084ad63bf2fdc7dd9c	People gathered in a room.	People gathered together in a room.	1.0
7596	2433a11f8f33f5d8a24124679	A yellow school bus parked in a field.	A brown horse in a green field.	0.0
1556	88e7cdadf0adf19844e263595	A guy and two girls are smiling at the camera.	Three dogs, one white and two brown, are running together on a field of grass.	0.0
5870	0db8737d84bb51c48fca6c0fc	A cow is eating grass.	A dog is pulling a girl down a hill.	0.0
423	94cd0e37303268e4d78a19d91	A woman slices a lemon.	A man is talking into a microphone.	0.0
1258	18bcea2259477c7b41eb94789	The black dog is lying in the grass.	A black dog lies on the grass.	1.0
8575	b9dfe3ee6ad411cf219b9d5e8	Prominent AIDS researchers killed in Malaysian plane crash	Top AIDS Researcher Killed in Malaysia Plane Crash	1.0
1481	d788a365fee8c670111133460	Two dogs in a fenced kennel look ahead.	Two girls on a guy posing on the bow a boat.	0.0
1994	93303dfa885a492019b937a49	A person is squeezing through an opening in the rock face.	A medium sized brown dog is running through an open white wooded area.	0.0
5786	c89d561eaa6819d7bc0a98221	A man plays the piano.	A man is playing a piano.	1.0
7363	8e8e75989fb911211be6d1863	A cat is playing on the floor.	A man is slicing garlic.	0.0
4019	3c5896607098d953828635d85	Nine killed in gun attack in Pakistan	Five million citizens get unofficial salary in Ukraine	0.0
7373	2016b12423767bfbe7da6f582	A baby elephant is eating a small tree.	A little girl peddling a scooter.	0.0
4958	1704f64aadbcb14c89e1711c8	Feds move to require car-to-car safety communication	Guatemala overturns former dictator's genocide conviction	0.0
7225	748d8fef565c14fdfda868c46	Yemen: Fighting in north kills over 120	Janet Yellen: Five things you might not know	0.0
1822	65b2c75c4a0ba1fbdc0309aaf	A dog running through snow.	A dog runs in the snow.	1.0
316	9f3b944cf32868ebfb0bbc9e1	A man puts seasoning in a bowl of water.	The man added seasoning to water in a bowl.	1.0
284	39e97705bbb5389f85a16e7f1	The woman is peeling shrimp.	The man is holding a lemur.	0.0
1712	86713ffcdb9273244922ec671	Man rowing a boat.	a man doing a trick on skateboard	0.0
7590	8b8fafeb5bddaca8beabbc355	A green car parked at a saloon.	A green car parked outside the saloon.	1.0
493	6179d293ef77cda73ee7477cf	A woman is slicing big pepper.	A dog is moving its mouth.	0.0
5527	b417b91adcd02640efbd1f502	Egypt Launches Offensive Against Sinai Militants	Egypt launches offensive against Sinai insurgents	1.0
1689	d11ec8c0fcbbd5e818b91d2ed	The large brown dog is jumping through the tall grass.	The girl wearing a blue shirt is running through a science center.	0.0
1273	587310bfad775bf5ba3203165	A girl with a red bag standing on the street.	A black dog is staring at a sheep.	0.0
3425	1b3a3e675370e936f452a0f02	At least 11 more cases in Indiana and three in Illinois are suspected.	There’s also at least three suspected cases in Illinois and 11 in Indiana.	1.0
7675	072dd5e2530b7149dccbc95e2	A boy in red jumping into a sandbox.	A dog swimming in a pond	0.0
6930	eef048e2cdf8de07530d75370	"Gainer said the two staff aides are ""very sorry this all happened,"" and the security personnel had performed ""well within standards."""	The security personnel performed ``well within standards'' and the two staff aides were ``very sorry all this happened,'' Gainer said.	1.0
7486	42a2196d975b7b8c1c9ed246b	A man is smoking.	A baby is sucking on a pacifier.	0.0
958	a952cc815f1f16ce103c13f8e	The man is playing the guitar.	The cat cleaned his face with his paw.	0.0
8560	7820dc9d1059ce3d24f37741a	Guatemalan court finds former dictator guilty of genocide	Guatemala's former leader found guilty of genocide	1.0
8611	954340d7b5be40518fcba77ef	Tycoon claims win in Ukraine and promises to seek future in EU	Polling stations open at Ukrainian presidential election	0.0
7106	2ab2227fadb0a8aee3d788c29	Security tightens for Thatcher funeral	Security agencies worry about new terrorist threats in Kenya	0.0
829	938a30567ddfe5f10cbaadd59	A girl is eating a cupcake.	A man is playing a trumpet.	0.0
1073	2a996c61d97b6f824426f5697	A living room with a dining table in the background.	A boy doing a wheelie on a plank with the beach in the background.	0.0
3067	5874631c5db2a900eeeaf889f	The Federal Trade Commission (FTC) asked Congress today for additional authority to fight unwanted Internet spam, which now accounts for up to half of all e-mail traffic.	The Federal Trade Commission asked Congress yesterday for broader powers to attack the rapidly growing problem of spam, which new studies show accounts for half of all e-mail traffic.	1.0
1306	fbf3c3f55dad549a69b342aae	A close-up of a black train engine.	Close up of a white sheep with a black head.	0.0
5555	21585f570afc6929ceeb61227	U.N. rights chief presses Egypt on Mursi detention	UN Rights Chief Presses Egypt on Morsi Detention	1.0
1414	7aacfd2a10d782fbcb4ae8fe6	Two men standing on beach.	Two women standing in front of tour bus.	0.0
3947	be2f7c57870a4e14daaafb24b	Head of CIA resigns over affair	Hall of Fame beckons for Capriati	0.0
1840	97ca1b05b8a248146d6351b75	Two kids splashing in the water.	Two dogs play together on the bed.	0.0
8463	8d0265653ddf99cd4c4e20923	Queen Beatrix of The Netherlands to abdicate for son	Queen Beatrix of the Netherlands abdicates in favour of son	1.0
460	780039bd9ab74859d1d9ab07e	A man is riding a bike.	A panda bear is eating.	0.0
8539	b060a3ede38bfb958b32bef16	CIA chief visits Israel for Syria talks	CIA chief in Israel to discuss situation in Syria	1.0
5000	e3205c5acf3a2f0f5947d45ac	Turkish search ends as last missing miners found	Turkish Search Ends as Last Missing Miners Found	1.0
4371	19e5ff7aa6ee8499667e02ed7	North Korea Postpones Family Reunions with South	North Korea 'postpones' family unions with South Korea	1.0
6064	a79d3c9c3efecea4c196a1233	A man doing a wheelie on a mountain bike.	A woman posing by a pillar with a U2 sign.	0.0
8103	c54c561e0386d6a0d48cd6093	Maybe this could work for you.	Maybe this can work for you.	1.0
4879	1b2c66a1ae92d8568268aa73a	Residents return to Texas blast site	Residents return to Fallujah	0.0
7920	22ec6a8242f672c03e99f49dc	This is not a good idea.	But it is not a good idea.	1.0
5241	98e003dbeb4b25dae5aaf8b57	Sony Xperia Z2 and Nokia‚Äôs X series unveiled	Court orders political ban on Italy‚Äôs Berlusconi	0.0
6492	c97822eba76adef53c037fbf9	I found it difficult to mark just one answer as correct because all are.	"I reccomend ""Monkey Grass"" because it is like a slow growing weed that reproduces slowly and looks nice!"	0.0
8085	67467b9815c49ccd18f300fb7	It's not a good idea.	Not a good idea.	1.0
1353	79db0ea101b87d8a66faa3042	Man playing guitar while sitting down.	Red and white bus driving down road.	0.0
1492	325599b78fe48c68e603a08f0	A train is at a train station.	a train in a station.	1.0
1554	6c01a336562ba24f90fa16d94	A little girl walks on a boardwalk with blue domes in the background.	A man going over a jump on his bike with a river in the background	0.0
911	2313969ffab11f05543a42b59	A woman is brushing her feet.	The sun is rising behind trees.	0.0
6108	9e61df81709c4437a15233440	Depressed woman sitting on couch.	Older woman holding newborn baby.	0.0
5724	7af95aa3f97d89f2355fee670	Hezbollah targets Qaeda gathering along border with Syria	Belarus tightens security along the border with Ukraine	0.0
1034	4a4c05f6b56c49c20bafb5b9b	A close-up, distorted photo of an empty glass Coke bottle.	A close-up picture of a desk with a computer and papers on it.	0.0
5746	c8e15ed47d51b14ed3a9b8947	President heading to Bahrain	President Xi: China to continue help to fight Ebola	0.0
1777	8066b351ae856f046792e49f7	A girl in a pink shirt is sprawling her limbs out in midair.	A man dressed in a Santa suit is climbing up a large concrete building.	0.0
6407	722284a36543d2f5edffc3ae8	A black hole (briefly), is nothing more than a dead star whose mass was more than 3 solar masses.	"I think you mean to ask, ""What is the local sidereal time of Greenwhich?""."	0.0
903	eff2bada313e06118cce2d476	A man is cutting grass.	A clown is singing.	0.0
4733	1740ab0cf2e4638c2d9cfbda0	Driver in Spanish train crash faces questions from judge	Train driver in Spain crash questioned by judge	1.0
5307	0741d9c6a8f699355c1852122	Red panda‚Äôs short-lived zoo escape	India‚Äôs march to Mars	0.0
1652	000c0a871b1d85e7b5c06208d	A black dog is walking on the grass with a stick in it's mouth.	A boy holds a net with a snake in it close to the ground.	0.0
8032	0395c0da34b45a39a149b481d	You answered your own question.	You pretty much answered your own question.	1.0
5476	561eecd9918e9d2cbbdb4db32	Two French journalists killed in Mali	France confirms two French journalists killed in Mali	1.0
7248	7e904563d5982ca67e72381a8	New video shows US police officers beating mentally-ill man	New York police officer critically wounded in hatchet attack	0.0
6416	a2bdae271dffcf4c519dbb148	As mentioned in the other comments, ANOVA is problematic when mixing types of predictor variables.	I like to think of multitasking as rapid task switching.	0.0
8127	7f4532aa988b07bb9960e4ae2	This is a terrible idea.	This is a bad idea.	1.0
1514	a236c1456d8410c53338b6081	The two boys play in the field.	The two people have their heads covered with scarves.	0.0
7336	a617cab77ac976e3dfca65234	A man is doing trick with play cards.	A man is performing a card trick.	1.0
6522	4e85059e272a23de237557d72	A caveat: I'm experiencing the tail end of a three day migraine.	I agree with the commentators that your question is a little confusing.	0.0
5831	23eb30ee32300dbd2b879ab6a	A man is playing a flute.	A dog is barking at a fly.	0.0
1966	4ebeb4a8637f89a1ff0ad9b82	The girl is wearing a blue striped shirt and Rollerblades.	a man wearing a black and white shirt jumping on a dogs back	0.0
1857	61fb17a01112cff820987f641	Four kids holding hands jump into a swimming pool.	Four dogs playing in the snow.	0.0
7076	6e42592149f1a86777240d889	Spurs get revenge on Lakers, lead West	Abduct Israelis to free prisoners, Gaza leaders say	0.0
337	56f71b81c5a9ec0f981eed02e	A girl is eating a cupcake.	A man is slicing a cucumber.	0.0
5411	2443d20bc892af15876cadd06	Poverty stats doubt Modi's development claims	GM to start taking recall compensation claims Aug 1	0.0
445	b238138ae10c9de17f3ab6ed0	The man drove his little red car around the traffic.	The dog ran in the water at the beach.	0.0
6089	1d2e85e804f93f957af67e1ef	A small yellow boat sitting on a tropical beach.	A small girl sits on a stone ledge near a white flowering plant.	0.0
6000	47974adffb40617a1ad7a87ab	The lamb is looking at the camera.	A small bird standing on a log at the waters edge.	0.0
2197	1af1580774f42b250fdf658b4	What do we get in return for doing the fighting for them?	------ ----------- What do we get in return for doing the fighting for them?	1.0
5562	7677f83122260ef852c19bcc2	Six dead in Philippine restaurant blast	6 killed in Philippines restaurant blast	1.0
1929	4db784181e0a080325b13a228	Children play fight with swords.	A child and parent pet a horse.	0.0
5365	6573fc03fa691f10aaa1a4a57	Strong new quake hits shattered Pak region	Powerful new earthquake hits shattered Pakistan region	1.0
6670	83441c5db68d2a2fe9f85311d	Some studies suggest open-space environments lower working efficiency with 2-10% due to interruptions, stress and noise.	There's an iPhone app called Groups which might be helpful.	0.0
7461	12d6c864b887151cca1e06fa5	The man is mixing whipping cream.	The man is holding a skunk.	0.0
6657	88c058d1ddf3b28308d9ef566	Even though the question has been answered I would like to add my answer .	I don't know if I should say this, but if your job is making you anxious.	0.0
6455	d0f4e9f1df7e3d2a2efcce6ab	I'm American, and I've never heard the bathroom referred to as St. John's.	In situations like these, I tend to lengthen out the phrase.	0.0
1868	24fe9f8eff8b031ee486aa267	A man stands astride a bike on a rocky trail by a lake.	A woman is wearing a white headband, purple tank top and black gloves.	0.0
5503	96c8426008483aa99db8e55d3	US believes Syrian government used chemical weapons	US suspects Syria used chemical weapons	1.0
7650	3b5d5b3bba86b05f7912ff32b	A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.	The man in a blue jacket is standing in a crowd.	0.0
885	27d30f5c35331bf8882664c03	A man is speaking on a phone.	A panda bear is chewing on a stick.	0.0
426	76cf17a0799b828b4ae462cfd	A man sharpens a pencil using a knife.	A woman is dancing in the rain.	0.0
716	ae894ce04560e81dcdb423a5b	A man is firing a shot gun.	A man shoots a shotgun.	1.0
3571	30d04c94d1af361839418a981	the cfe is very important for european security. 	the cfe is a cornerstone of european security.	1.0
5436	6db0eb96a0158e65eaa3359b5	D.C. Votes to Decriminalize Marijuana	DC votes to decriminalize pot	1.0
6025	9aa07db7a4e5b5c2dfdf3d1b1	World news headlines displayed on a large screen.	A man dressed for a race relaxes.	0.0
5796	cdd12209ddbd44a58b4ffeea6	The man is riding a horse.	A woman is using a hoe.	0.0
5853	dd9e8731261ce4503c86c7e55	A woman is chopping onion.	A man is doing a card trick.	0.0
5654	d0cd929a072da0b9f46461910	U.S., EU Widen Sanctions On Russia	U.S., EU Boost Sanctions On Russia	1.0
7382	105d7aa0aa352a0a7af78a2ed	A woman is stabbing a potato with a fork.	A woman is puncturing a potato with a fork.	1.0
7355	c3fb96a4622ba46baac8eaea6	A man is playing guitar.	A boy is talking to a giant dog.	0.0
4620	136a1550d334726c40e520b3d	Soccer-France to host Australia for first time in October	NRA official to face questions for first time since controversial remarks	0.0
3602	391c5439ab771c92e4674073e	the statement did not specify the quantity of warheads the missile is capable of carrying. 	the statement did not specify how many warheads the missile can carry.	1.0
5847	56ae2a5d6ed0f28aee297b8bf	A cat is pouncing on a trampoline.	A man is slicing a tomato.	0.0
6652	559d125aff67515f6051e34e4	The important thing I try to remember is just to pay attention.	I have been reading on this topic since I have asked this question.	0.0
858	b39fe45247aae08c6523798eb	A woman is seasoning a piece of meat.	A man is loading a rifle with bullets.	0.0
5733	3b0a4f15029d63925243d362f	N. Korea agrees to talks with South	Johor crowns its fifth Sultan	0.0
5023	4ffa34f70bfd74b4595173b72	Nelson Mandela dies aged 95	Nelson Mandela Dies at Age 95	1.0
1051	816ea99e0c4dcb71452c01623	Black and white photo of couch with purse at one end.	a black and white photo of a cow under a tree.	0.0
5649	aa601ade7da60028539fb315c	Pope calls for action on climate change in draft encyclical	Pope urges action on climate change in draft encyclical	1.0
535	dee532f115d1e611f6f1695be	The man is playing the guitar.	A man is playing guitar.	1.0
5259	725378512ea887fee0653ee06	India starts voting in world's largest election	India voters kick off world‚Äôs biggest election	1.0
7681	8145555a35728f5e7b945803b	Two people are in bed.	Two boxers are in the ring.	0.0
4405	1f88305818c56e89ce245a92b	&gt;Cuba's Castro assumes CELAC presidency	Cuba's Castro to Take Over CELAC Presidency	1.0
456	33e83e9bc6ad73136baf59328	A boy is crawling into a dog house.	A cat is playing on the floor.	0.0
8005	f453d0a2970ffd92828542686	There's not a lot you can do about that.	I really do not think there is much you can do about that.	1.0
5711	5c52bf47f5ebd47863bb00015	Oscar Pistorius sentenced to 5 years in prison	'Bookkeeper of Auschwitz' Sentenced to Four Years in Prison	0.0
6109	5a26a9ad0c89956857f7fb561	An elderly woman catches a ride on the back of the bicycle.	The boats are on the water located in front of the mountain.	0.0
5427	e16102e583a3967f4e15bb6a1	Two arrests made after protest against Nigel Farage	Kerry vows progress after latest intensive Mideast trip	0.0
8047	97d5320dbffa133fd819c3880	No, you do not NEED a bread machine.	You do not need to worry.	0.0
5004	ab454788eabc6d18e3dc3e8e0	Ankeet Chavan granted conditional bail for marriage	Ankeet Chavan granted bail to get married	1.0
1020	64868cc86ef2b78050c7ae19e	A person in a blue shirt reclines near a coffee table and television.	A person stands on the motorcycle seat and pops a wheelie.	0.0
439	ae83c293c722a0efa193ec9f8	A man lays on the ground and aims a rifle.	A man is spreading butter on a tortilla.	0.0
6713	7857b6d33fc8fd2f7ebd62ba9	It was random that she faced Li Na in the first round - not because she's seeded/ranked #127.	This was too long for a comment, so I am posting it as a CW-answer.	0.0
763	4134be234b8a2d92bc2bb974d	The man danced in the diner.	The bomb exploded in the desert.	0.0
5017	35611e0db7bb95f4d4070de59	Greek far-right leader imprisoned pending trial	Greek Far-Right Leader Imprisoned Pending Trial	1.0
1557	173dbd16e1cf8362c497508b3	A dog swimming with a stick in it's mouth.	Dog swimming in the water with a stick in its mouth.	1.0
5358	908180f75274aa390722222a9	Los Angeles airport worker charged with making 9/11 threats	Los Angeles airport worker charged over 9/11 threats	1.0
3797	39dde1ae3e4168a059a90e833	Gunman kills 6 in shooting at Wisconsin Sikh temple	Gunman kills six in shooting at Sikh temple in Wisconsin	1.0
5881	537c408dfae460e5732df1641	A woman is cutting broccoli.	A woman is slicing broccoli.	1.0
1138	e9eedec0eda34b3143ec0c32d	A women sitting in a chair at Christmas holding make up.	A train sitting on the tracks in a train yard.	0.0
2427	ae54f416111c949fc983c94e1	If God does not exist can anything be morally wrong?	I ask again if God does not exist can anything be morally wrong?	1.0
7930	32a4bdec09e3e3c5b854d9b26	You just have to base your answer on what you do know, which is what you want.	It is his job to see that you have what you need to do your job.	0.0
3852	0c239aa3513f9f8cde089b48a	Gusmao consolidates power in East Timor elections	Supreme Court possibilities if Romney wins election	0.0
3981	667694e46f1fc8bc2442cfcf9	American Airlines and Pilots Agree on a New Contract	Romney pledges to 'stand with Israel' on Iran threat	0.0
1252	c848e371a6f0bde71456b8775	The bird is sitting on the branch.	The sheep is standing under the trees.	0.0
4623	5db9243a9e3356ff584ffdfdc	Moderate tremor in the Central Mediterranean	Iran: Moderate candidate wins presidential vote	0.0
4378	8967d8bc6316e1b0b38a70a5e	Man Who Set Himself on Fire on National Mall Dies of Injuries	Man 'who set himself ablaze' on National Mall dies	1.0
6706	36d0f26fcb4c843f71ce7fabd	Actually, it's much more easier to count the one NOT on the same continent.	That is also the recommended strategy for marathons, if you are going for time.	0.0
5846	e552c5e857abfeeff0b769667	A woman is putting her baby in a waste bin.	The woman is poking holes in the potato.	0.0
5890	bb4435df5292c5582bb142d61	A man dives into a pool.	A man dives into a swimming pool.	1.0
8086	488fbe969a028b47df9e17cf6	You don't need any visa.	You don't have to worry.	0.0
8573	d1aada715d2d9fdfc21645270	On War Criminals and Heroes: The Whitewashing of Ariel Sharon ŔÄ	On war criminals and heroes: The whitewashing of Ariel Sharon	1.0
2817	7dac9a2e6b53bab96d7639f53	No Americans were reported among the casualties, according to Capt. Michael Calvert, a spokesman for the regiment.	None of the casualties was Americans, said Capt. Michael Calvert, regiment spokesman.	1.0
1779	7c4075f9600336f0133db6cf6	Child sliding in the snow.	Man sleeping on the street.	0.0
5301	78ae046cd2626fed7d504c36a	Google Unveils Prototype Self-Driving Car	Google Unveils Concept Self-Driving Car	1.0
7543	361478e474e4e1527ec0c8b87	The train heads down the tracks and along the hedge.	a dog on the floor of a patio looks at a cat on the fence.	0.0
8400	2b29cfae63cad7a8dbcbe86bd	Samsung overtakes Nokia in phones	Charges over dog attack on police	0.0
8026	fa7a26e34beb5a867ac5801f9	You don't have to know.	You don't have equipments/facilities to do research in B.	0.0
1775	cbcaf3c3a2893f811e7f37e21	Two people wearing hats sit and look at the camera.	A man wearing a blue shirt makes a grouchy face.	0.0
8078	b2a2ee6ceffa1ddd076beac64	I'm thinking it's a bad idea. 	I think it's a bad idea.	1.0
2765	96eade31bc92cb5442c62f961	South Africa has the world's highest caseload with 4.7 million people infected with HIV or AIDS.	With 4.7 million people infected with HIV or AIDS, South Africa has the world's highest AIDS caseload.	1.0
2511	712dc94bb3364ecca264604bf	The value will total about $124 million, including convertible securities, according to Corel.	Including convertible securities, the total estimated value of the deal is $124 million, according to Corel.	1.0
929	3906d51c80319155d75b00ab8	A woman is putting on makeup.	A band is singing.	0.0
5213	18044374f522b792d8ea1a7a9	Egypt votes on new constitution	Egyptians Voting on New Constitution	1.0
7944	f12d1018c0a1726dca04e4a51	The best thing you can do is to know your stuff.	My recommendation is not to say anything, and do the best you can.	0.0
4892	5e6a16a917c13bbcecaf2b39e	Voting canceled in three provinces in tense Thai election	Cambodian opposition rejects Hun Sen election win	0.0
1706	0999d6ffbd12fcba087ace75d	A climber is standing on the rock face next to the pink rope.	The children are running in the snow with fences in the background.	0.0
218	fa3b2057b2dacdfa1692a7795	A person plays a keyboard.	Someone is playing a keyboard.	1.0
4633	bfa7ecc94714c762923baa2e4	Dozens killed in air strike on bakery in central Syria	'Dozens killed' in Syrian air strike on bakery	1.0
491	ed079da0182859f3325973a73	A person is slicing an onion.	A cat is pooping into a toilet.	0.0
7946	05cb5425a3236716e0968ef7e	You don't have to know.	You don't have to do anything to season it.	0.0
197	972fa6b2255fbbfad3c1645e1	A woman slices tofu.	A woman is cutting tofu.	1.0
1830	6e5c8b2a6ee138dbefa9f7952	Two dogs run through the snow, one with a tennis ball.	The boy is doing a stunt, through the air, on his bicycle.	0.0
1565	d29f35c1cc298ffff6622c1f9	A white and black dog is jumping into a pool.	A woman in a black apron is standing in front of a mirror.	0.0
1981	1f829782dea36fa209facfaa4	Two dogs are peeing at a red fire hydrant.	Two dogs are urinating on the red fire hydrant.	1.0
8529	446036cff900521c611cd88a3	Storm buries Northeast; 16 inches of snow in NJ	Forum urges stable relations for China, Japan	0.0
5300	b2bb3650215367dc9e7e9b20c	Cleveland Kidnapper Ariel Castro Found Hanged in Prison Cell	Cleveland kidnapper Ariel Castro found hanging in his cell	1.0
6582	5cb9e64bbec4aaf58225fec45	The appropriate pH level of the water does vary a bit by fish, but too acidic can definitely kill them.	The info you've been given in the previous answers is good.	0.0
6841	a0379b3f4d0cd9fc04b8470f2	BioReliance's stock closed down 2 cents yesterday at $47.98 per share.	Shares of BioReliance sold at $47.98 at the close of market yesterday, down 2 cents.	1.0
3599	6355f79c1720b1cb1d2f4c188	hong kong universities collaborate with universities, businesses and government sectors of mainland china to coordinate training programs and research centers to promote high-tech research, commercialization, and technology transfer. 	hong kong universities have collaborated with tertiary education, business and government sectors of mainland china to direct training programs and research centers to promote research commercialization and technology transfer.	1.0
5822	cc8c225a35542a9b9491a46e5	A man is talking with other women on the beach.	A man is walking down the street.	0.0
7614	31110738a3806d6af07085db3	A cruise ship is in front of a docking area.	Calico cat sitting on step in front of a door.	0.0
2462	6923d9cf81395c1c19b5a54b1	AAA spokesman Jerry Cheske said prices may have affected some plans, but cheap hotel deals mitigated the effect.	AAA spokesman Jerry Cheske said prices might have affected some plans, but cheap hotel deals made up for it.	1.0
5863	61429bdaf1e1d394bddf36bfb	The elephants are bathing.	Two women are singing.	0.0
5246	cd25e870e57080e2d625cb4de	Royal Hoax DJ Takes Action Against Station	Taliban bombs US base in Afghanistan	0.0
5340	813b04916e7b759c37ec13dc6	Egyptian military spokesman denounces incitement against army	Labor ministry announcement due on Monday	0.0
6413	6eecd1b008a3cb2c1d4a3babc	I've found an additional concept that may be related to the original question: prototype theory.	According to current models of human concept learning, the answer to your question is both.	0.0
7626	870d664d0bdcb95f62fc63580	A small camouflaged airplane parked in the grass.	A small dog wearing a pink shirt tied to a railing.	0.0
1697	f566883f2c6e5f7469a28091e	A person is skijoring with a dog in the mountains.	A brown dog is playing with a ball in the water.	0.0
1797	7c29a6243ddab763b0a52d3ec	The black dog is running through the snow.	A race car driver is driving his car through the mud.	0.0
6643	0b850c81f7669fa3abf5c3557	This question has already been widely discussed and answered on Skeptics.	Minimum wage laws hurt the least skilled, least productive the most.	0.0
5556	7e6521f69fc6ff51d082a0cd8	US Senate confirms Janet Yellen as US Federal Reserve chief	Senate confirms Janet Yellen as next Federal Reserve Chair	1.0
8503	7058f0fdb7484df20e08a6540	Kardashian Divorce Ready for Trial	Hard-hit hotels ready for price war	0.0
1159	ca179411ad48cdac79b8d1c1c	Red double decker bus.	A red, double-decker bus.	1.0
4597	8bfa730206b6d943f1e4ded7e	Zen Report: Ain't easy being high maintenance	Russian meteorite leaves building gaping open	0.0
5546	acf4a36430b508e39ecd5ad11	World sends emergency relief to battered Philippines	Typhoon Haiyan: world sends relief to battered Philippines	1.0
5563	80910564aca2848659cbbe559	China army newspaper hits out at US's PRISM programme	China army newspaper slams US's PRISM program	1.0
7388	33234d8443ef37f9e0dbb7ac5	A group of people are sweeping water out of a house.	People are sweeping water out of a house.	1.0
7974	06a0163f85158f97572f33680	What kind of insulation is it?	What kind of floors are above?	0.0
3306	8b0b23e6970ab49792c7eb637	He explained that he found Antetonitrus when he came to Wits in 2001 as a post-doctoral research assistant at England's University of Bristol.	He explained that he found antetonitrus when he came to Wits in 2001 while a post-doctoral research assistant at Bristol University in Britain.	1.0
1378	279d78e3445e22ac2cbe6bf34	A girl in a black desktop holds up an open box of Corn Flakes and a carton of milk.	A girl wearing black shorts and boots is standing next to a blue motorcycle.	0.0
432	1a4ce4e8c2bd9bc0651ebc6f8	A dog is running on the ground.	A girl is tapping her finger nails.	0.0
